id,firstName,familyName,email,gender,race,company ,city,country,smokes,hasKids,wantsKids,hasPets,jobTitle,favColour,age
1,Gerald,Robinson,grobinson0@google.co.jp,Male,Sioux,"Lubowitz, Mitchell and Schneider",Charlton,United Kingdom,false,true,false,true,Quality Engineer,Khaki,44
2,Nicole,Howard,nhoward1@cargocollective.com,Female,Pueblo,"Balistreri, Hartmann and Hermiston",Halton,United Kingdom,true,false,false,true,Nuclear Power Engineer,Mauv,41
3,George,Edwards,gedwards2@gravatar.com,Male,Colville,"Barton, Romaguera and Moore",Newport,United Kingdom,false,false,false,false,Recruiter,Green,21
4,Fred,Hill,fhill3@sbwire.com,Male,Osage,Ebert-Douglas,Upton,United Kingdom,true,false,false,false,Analog Circuit Design manager,Goldenrod,58
5,Anne,Burke,aburke4@tinyurl.com,Female,Navajo,"Becker, Kuhic and Simonis",West End,United Kingdom,true,true,false,false,Computer Systems Analyst III,Crimson,40
6,Dennis,Ruiz,druiz5@gnu.org,Male,Puerto Rican,Marvin-Schultz,Pentre,United Kingdom,true,false,true,true,Human Resources Assistant III,Purple,58
7,Julie,Grant,jgrant6@prnewswire.com,Female,Ute,Bogan-Pacocha,Twyford,United Kingdom,false,false,false,true,Biostatistician I,Puce,54
8,Cynthia,Matthews,cmatthews7@mail.ru,Female,Puerto Rican,"Harber, Smitham and Mann",Normanton,United Kingdom,false,false,false,true,Desktop Support Technician,Puce,31
9,Gregory,Fields,gfields8@e-recht24.de,Male,Vietnamese,"Ratke, Olson and Bayer",Newbiggin,United Kingdom,false,false,true,false,Assistant Media Planner,Mauv,32
10,Carolyn,Reed,creed9@privacy.gov.au,Female,Samoan,"Ebert, Von and Schmeler",Milton,United Kingdom,true,false,false,false,Analyst Programmer,Pink,36
11,Bobby,Rodriguez,brodrigueza@google.com.au,Male,Peruvian,Little-Toy,Swindon,United Kingdom,true,true,true,true,Assistant Manager,Orange,58
12,Johnny,Gonzales,jgonzalesb@wisc.edu,Male,Sioux,Erdman-Parisian,Pentre,United Kingdom,false,false,true,false,Developer II,Yellow,33
13,Christine,Reid,creidc@dagondesign.com,Female,South American,Mertz Group,Craigavon,United Kingdom,true,true,false,false,GIS Technical Architect,Goldenrod,55
14,Kimberly,Turner,kturnerd@istockphoto.com,Female,Laotian,Crooks-Steuber,Upton,United Kingdom,true,true,false,true,Technical Writer,Teal,25
15,Brandon,Marshall,bmarshalle@miitbeian.gov.cn,Male,Pueblo,"Kunde, Thompson and McLaughlin",Ashley,United Kingdom,false,false,true,true,Data Coordiator,Yellow,34
16,Amanda,Kelly,akellyf@istockphoto.com,Female,Osage,Boyer Group,Edinburgh,United Kingdom,true,false,true,false,Account Representative III,Puce,23
17,Julie,Ryan,jryang@cargocollective.com,Female,Ottawa,Greenfelder Group,Seaton,United Kingdom,false,false,true,false,Marketing Assistant,Puce,60
18,Jacqueline,George,jgeorgeh@nih.gov,Female,Costa Rican,Doyle Inc,Manchester,United Kingdom,false,false,false,false,Senior Sales Associate,Orange,56
19,Kenneth,Morgan,kmorgani@princeton.edu,Male,Black or African American,Hills LLC,Charlton,United Kingdom,false,true,true,true,Pharmacist,Purple,21
20,Sara,Wilson,swilsonj@wufoo.com,Female,Bolivian,Nitzsche and Sons,Sheffield,United Kingdom,false,true,false,false,Office Assistant IV,Yellow,27
